Documentation Page,Source Files,Relationship Type,Notes
docs/index.md,N/A,DERIVED,Landing page - manually maintained
docs/getting_started/index.md,amplifier-app-cli/README.md,DERIVED,Quick start guide for CLI application
docs/getting_started/installation.md,amplifier-app-cli/README.md|amplifier-app-cli/pyproject.toml,DERIVED,Installation methods and requirements
docs/getting_started/providers.md,amplifier-module-provider-*/README.md,REFERENCE,Provider setup and configuration
docs/user_guide/index.md,amplifier-app-cli/README.md,DERIVED,CLI user guide overview
docs/user_guide/cli.md,amplifier-app-cli/amplifier_app_cli/main.py|amplifier-app-cli/amplifier_app_cli/commands/*.py,DERIVED,Complete CLI command reference
docs/user_guide/profiles.md,amplifier-profiles/src/amplifier_profiles/*.py|amplifier-profiles/README.md,DERIVED,Profile system documentation
docs/user_guide/agents.md,amplifier-app-cli/amplifier_app_cli/data/collections/developer-expertise/agents/*|amplifier-app-cli/docs/AGENT_DELEGATION_IMPLEMENTATION.md,DERIVED,Agent delegation and usage - built-in agents in amplifier-app-cli
docs/user_guide/sessions.md,amplifier-core/amplifier_core/session.py|amplifier-app-cli/amplifier_app_cli/session_spawner.py,DERIVED,Session management and persistence
docs/user_guide/collections.md,amplifier-collections/src/amplifier_collections/*.py|amplifier-collections/README.md,DERIVED,Collections system documentation
docs/developer_guides/foundation/index.md,amplifier-core/README.md|amplifier-core/docs/DESIGN_PHILOSOPHY.md|amplifier-profiles/README.md|amplifier-collections/README.md|amplifier-config/README.md|amplifier-module-resolution/README.md,DERIVED,Foundation developer guide overview - covers kernel and all foundation libraries    
docs/developer_guides/applications/index.md,amplifier-core/amplifier_core/session.py|amplifier-app-cli/amplifier_app_cli/__init__.py,DERIVED,Building applications on amplifier-core
docs/developer_guides/applications/cli_case_study.md,amplifier-app-cli/amplifier_app_cli/*.py|amplifier-app-cli/docs/*.md,DERIVED,CLI application architecture case study
docs/developer/index.md,amplifier-core/docs/contracts/README.md,DERIVED,Module developer guide overview
docs/developer/module_development.md,amplifier-core/docs/contracts/*.md|amplifier-module-*/README.md,DERIVED,Creating custom modules
docs/developer/contracts/index.md,amplifier-core/docs/contracts/README.md,DERIVED,Module contracts overview
docs/developer/contracts/provider.md,amplifier-core/docs/contracts/PROVIDER_CONTRACT.md|amplifier-core/amplifier_core/interfaces.py,DERIVED,Provider contract specification
docs/developer/contracts/tool.md,amplifier-core/docs/contracts/TOOL_CONTRACT.md|amplifier-core/amplifier_core/interfaces.py,DERIVED,Tool contract specification
docs/developer/contracts/hook.md,amplifier-core/docs/contracts/HOOK_CONTRACT.md|amplifier-core/amplifier_core/hooks.py,DERIVED,Hook contract specification
docs/developer/contracts/orchestrator.md,amplifier-core/docs/contracts/ORCHESTRATOR_CONTRACT.md|amplifier-core/amplifier_core/interfaces.py,DERIVED,Orchestrator contract specification
docs/developer/contracts/context.md,amplifier-core/docs/contracts/CONTEXT_CONTRACT.md|amplifier-core/amplifier_core/interfaces.py,DERIVED,Context contract specification
docs/architecture/index.md,amplifier-core/docs/DESIGN_PHILOSOPHY.md,DERIVED,Architecture documentation overview
docs/architecture/overview.md,amplifier-core/docs/DESIGN_PHILOSOPHY.md|amplifier-core/README.md,DERIVED,High-level architecture overview
docs/architecture/kernel.md,amplifier-core/docs/DESIGN_PHILOSOPHY.md|amplifier-core/amplifier_core/*.py,DERIVED,Kernel philosophy and design
docs/architecture/modules.md,amplifier-core/docs/contracts/README.md|amplifier-core/amplifier_core/loader.py,DERIVED,Module system architecture
docs/architecture/mount_plans.md,amplifier-core/docs/specs/MOUNT_PLAN_SPECIFICATION.md|amplifier-core/amplifier_core/models.py,DERIVED,Mount plan specification
docs/architecture/events.md,amplifier-core/docs/specs/CONTRIBUTION_CHANNELS.md|amplifier-core/amplifier_core/events.py,DERIVED,Event system architecture
docs/api/index.md,N/A,DERIVED,API reference overview
docs/api/core/index.md,amplifier-core/amplifier_core/__init__.py,DERIVED,Core API overview
docs/api/core/session.md,amplifier-core/amplifier_core/session.py,DERIVED,Session API reference
docs/api/core/coordinator.md,amplifier-core/amplifier_core/coordinator.py,DERIVED,Coordinator API reference
docs/api/core/hooks.md,amplifier-core/amplifier_core/hooks.py|amplifier-core/docs/HOOKS_API.md,DERIVED,Hooks API reference
docs/api/core/models.md,amplifier-core/amplifier_core/models.py|amplifier-core/amplifier_core/message_models.py,DERIVED,Data models reference
docs/api/core/events.md,amplifier-core/amplifier_core/events.py,DERIVED,Events API reference
docs/api/cli/index.md,amplifier-app-cli/amplifier_app_cli/main.py,REFERENCE,CLI API reference
docs/libraries/index.md,amplifier-profiles/README.md|amplifier-collections/README.md|amplifier-config/README.md|amplifier-module-resolution/README.md,DERIVED,Libraries overview
docs/libraries/profiles.md,amplifier-profiles/src/amplifier_profiles/*.py|amplifier-profiles/README.md,DERIVED,Profiles library documentation
docs/libraries/collections.md,amplifier-collections/src/amplifier_collections/*.py|amplifier-collections/README.md,DERIVED,Collections library documentation
docs/libraries/config.md,amplifier-config/src/amplifier_config/*.py|amplifier-config/README.md,DERIVED,Config library documentation
docs/libraries/module_resolution.md,amplifier-module-resolution/src/amplifier_module_resolution/*.py|amplifier-module-resolution/README.md,DERIVED,Module resolution library documentation
docs/modules/index.md,amplifier-core/docs/contracts/README.md,DERIVED,Modules catalog overview
docs/modules/providers/index.md,amplifier-module-provider-*/README.md,DERIVED,Providers catalog
docs/modules/providers/anthropic.md,amplifier-module-provider-anthropic/amplifier_module_provider_anthropic/__init__.py|amplifier-module-provider-anthropic/README.md,DERIVED,Anthropic provider documentation
docs/modules/providers/openai.md,amplifier-module-provider-openai/amplifier_module_provider_openai/__init__.py|amplifier-module-provider-openai/README.md,DERIVED,OpenAI provider documentation
docs/modules/providers/azure.md,amplifier-module-provider-azure-openai/amplifier_module_provider_azure_openai/__init__.py|amplifier-module-provider-azure-openai/README.md,DERIVED,Azure OpenAI provider documentation
docs/modules/providers/ollama.md,amplifier-module-provider-ollama/amplifier_module_provider_ollama/__init__.py|amplifier-module-provider-ollama/README.md,DERIVED,Ollama provider documentation
docs/modules/providers/vllm.md,amplifier-module-provider-vllm/amplifier_module_provider_vllm/__init__.py|amplifier-module-provider-vllm/README.md,DERIVED,vLLM provider documentation
docs/modules/providers/mock.md,amplifier-module-provider-mock/amplifier_module_provider_mock/__init__.py|amplifier-module-provider-mock/README.md,DERIVED,Mock provider documentation (for testing)
docs/modules/tools/index.md,amplifier-module-tool-*/README.md,DERIVED,Tools catalog
docs/modules/tools/filesystem.md,amplifier-module-tool-filesystem/amplifier_module_tool_filesystem/*.py|amplifier-module-tool-filesystem/README.md,DERIVED,Filesystem tool documentation
docs/modules/tools/bash.md,amplifier-module-tool-bash/amplifier_module_tool_bash/__init__.py|amplifier-module-tool-bash/README.md,DERIVED,Bash tool documentation
docs/modules/tools/web.md,amplifier-module-tool-web/amplifier_module_tool_web/__init__.py|amplifier-module-tool-web/README.md,DERIVED,Web tool documentation
docs/modules/tools/search.md,amplifier-module-tool-search/amplifier_module_tool_search/__init__.py|amplifier-module-tool-search/README.md,DERIVED,Search tool documentation
docs/modules/tools/task.md,amplifier-module-tool-task/amplifier_module_tool_task/__init__.py|amplifier-module-tool-task/README.md,DERIVED,Task tool documentation
docs/modules/tools/todo.md,amplifier-module-tool-todo/amplifier_module_tool_todo/__init__.py|amplifier-module-tool-todo/README.md,DERIVED,Todo tool documentation
docs/modules/orchestrators/index.md,amplifier-module-loop-*/README.md,DERIVED,Orchestrators catalog
docs/modules/orchestrators/loop_basic.md,amplifier-module-loop-basic/amplifier_module_loop_basic/__init__.py|amplifier-module-loop-basic/README.md,DERIVED,Basic orchestrator documentation
docs/modules/orchestrators/loop_streaming.md,amplifier-module-loop-streaming/amplifier_module_loop_streaming/__init__.py|amplifier-module-loop-streaming/README.md,DERIVED,Streaming orchestrator documentation
docs/modules/orchestrators/loop_events.md,amplifier-module-loop-events/amplifier_module_loop_events/__init__.py|amplifier-module-loop-events/README.md,DERIVED,Events orchestrator documentation
docs/modules/contexts/index.md,amplifier-module-context-*/README.md,DERIVED,Contexts catalog
docs/modules/contexts/simple.md,amplifier-module-context-simple/amplifier_module_context_simple/__init__.py|amplifier-module-context-simple/README.md,DERIVED,Simple context documentation
docs/modules/contexts/persistent.md,amplifier-module-context-persistent/amplifier_module_context_persistent/__init__.py|amplifier-module-context-persistent/README.md,DERIVED,Persistent context documentation
docs/modules/hooks/index.md,amplifier-module-hooks-*/README.md,DERIVED,Hooks catalog
docs/modules/hooks/logging.md,amplifier-module-hooks-logging/amplifier_module_hooks_logging/__init__.py|amplifier-module-hooks-logging/README.md,DERIVED,Logging hook documentation
docs/modules/hooks/approval.md,amplifier-module-hooks-approval/amplifier_module_hooks_approval/__init__.py|amplifier-module-hooks-approval/README.md,DERIVED,Approval hook documentation
docs/modules/hooks/redaction.md,amplifier-module-hooks-redaction/amplifier_module_hooks_redaction/__init__.py|amplifier-module-hooks-redaction/README.md,DERIVED,Redaction hook documentation
docs/modules/hooks/backup.md,amplifier-module-hooks-backup/amplifier_module_hooks_backup/__init__.py|amplifier-module-hooks-backup/README.md,DERIVED,Backup hook documentation
docs/modules/hooks/scheduler_cost_aware.md,amplifier-module-hooks-scheduler-cost-aware/amplifier_module_hooks_scheduler_cost_aware/__init__.py|amplifier-module-hooks-scheduler-cost-aware/README.md,DERIVED,Cost-aware scheduler hook documentation
docs/modules/hooks/scheduler_heuristic.md,amplifier-module-hooks-scheduler-heuristic/amplifier_module_hooks_scheduler_heuristic/__init__.py|amplifier-module-hooks-scheduler-heuristic/README.md,DERIVED,Heuristic scheduler hook documentation
docs/modules/hooks/status_context.md,amplifier-module-hooks-status-context/amplifier_module_hooks_status_context/__init__.py|amplifier-module-hooks-status-context/README.md,DERIVED,Status context hook documentation
docs/modules/hooks/streaming_ui.md,amplifier-module-hooks-streaming-ui/amplifier_module_hooks_streaming_ui/__init__.py|amplifier-module-hooks-streaming-ui/README.md,DERIVED,Streaming UI hook documentation
docs/modules/hooks/todo_reminder.md,amplifier-module-hooks-todo-reminder/amplifier_module_hooks_todo_reminder/__init__.py|amplifier-module-hooks-todo-reminder/README.md,DERIVED,Todo reminder hook documentation
docs/ecosystem/index.md,amplifier/docs/MODULES.md|amplifier-core/docs/contracts/README.md|amplifier-profiles/README.md,DERIVED,Ecosystem overview - MODULES.md is primary catalog
docs/showcase/index.md,N/A,DERIVED,Showcase page - manually curated
docs/community/index.md,N/A,DERIVED,Community page - manually maintained
docs/community/contributing.md,amplifier-core/README.md,REFERENCE,Contributing guidelines - no standalone CONTRIBUTING.md exists
docs/community/roadmap.md,amplifier/ROADMAP.md,DIRECT,Project roadmap
